,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
311,Fox,Sat Nov 04 02:07:49 +0000 2017,"RT @aprilwensel: A team's inability to bring on junior developers reveals not a ""high bar,"" but rather a deficiency in the culture.",-0.2144,0.0,0.907,0.093,12
312,Fox,Sat Nov 04 01:51:25 +0000 2017,@ctrlaltjustine Lol pretending to be thinking ? ? ??,0.4939,0.457,0.543,0.0,13
313,Fox,Sat Nov 04 01:46:45 +0000 2017,RT @Selina_y_wang: Read my story about a former Twitter employee who says fake Russian accounts were not taken seriously https://t.co/YzfID…,-0.3781,0.07,0.786,0.143,14
314,Fox,Sat Nov 04 01:45:30 +0000 2017,"@ctrlaltjustine It was a very nice afternoon, chill hangs are the best ?",0.807,0.448,0.552,0.0,15
315,Fox,Fri Nov 03 06:31:12 +0000 2017,"RT @laura: To think what I could have earned by now....

Fighting this for my nieces. So that they can earn what they deserve.

 #LatinaEqu…",-0.3612,0.0,0.902,0.098,16
316,Fox,Fri Nov 03 06:11:08 +0000 2017,"RT @tarah: Event organizers: If you have an event anywhere at all, pay attention to this: https://t.co/RDgkhA9Tu9",-0.1027,0.0,0.92,0.08,17
317,Fox,Fri Nov 03 06:09:26 +0000 2017,Lovely feedback on my “Building Inclusive Communities” talk from @kajsaunge ? Thank you! https://t.co/dTTcuFuana,0.7644,0.375,0.625,0.0,18
318,Fox,Fri Nov 03 03:14:55 +0000 2017,Thank God for someone who has a moral spine. https://t.co/aEfGPczoQq,0.5574,0.397,0.603,0.0,19
319,Fox,Fri Nov 03 03:13:23 +0000 2017,"RT @winterjessica: ""We have learned that this was done by a Twitter customer support employee who did this on the employee’s last day"" http…",0.4019,0.109,0.891,0.0,20
320,Fox,Fri Nov 03 02:13:03 +0000 2017,Will I get verified on Twitter?,0.0,0.0,1.0,0.0,21
321,Fox,Fri Nov 03 02:11:00 +0000 2017,@webstock do you ever take talk proposals? :),0.4588,0.3,0.7,0.0,22
322,Fox,Thu Nov 02 22:24:09 +0000 2017,"@sailorhg the power of block comes handy

also, replying “no” is pretty effective, haha. still annoying though (hugs)",0.5719,0.333,0.466,0.201,23
323,Fox,Thu Nov 02 22:22:23 +0000 2017,"@sailorhg every single time I tweet about “guys” not being gender neutral I get dozen of men splaining it is, lol",0.4215,0.135,0.865,0.0,24
324,Fox,Thu Nov 02 22:13:35 +0000 2017,"@sailorhg poor men, poor men",-0.7351,0.0,0.326,0.674,25
325,Fox,Thu Nov 02 22:07:42 +0000 2017,"Finally, a meaningful update to iOS, allowing expressing myself in T-rex  yoga Dracula emoji.",0.3182,0.161,0.839,0.0,26
326,Fox,Thu Nov 02 21:15:54 +0000 2017,@RyanTownsend thanks to you! Great writing ?,0.807,0.646,0.354,0.0,27
327,Fox,Thu Nov 02 20:51:11 +0000 2017,"@dan_abramov Hah, fair enough!",0.3802,0.464,0.536,0.0,28
328,Fox,Thu Nov 02 20:50:57 +0000 2017,"If you ever wanted to speak at an inclusive tech conference, please apply! 

We got your back ? https://t.co/QmqdF44YgN",0.3802,0.132,0.868,0.0,29
329,Fox,Thu Nov 02 20:48:31 +0000 2017,@dan_abramov ?? Can I tempt you to submit a proposal? https://t.co/6XXZPqUZql,0.0,0.0,1.0,0.0,30
330,Fox,Thu Nov 02 20:11:28 +0000 2017,"?12 of @perfemail is out! Have a read for fast web fonts, image optimisation, the cost of ads &amp; more! #perfmatters https://t.co/qZ1k5MJIFG",0.4912,0.137,0.863,0.0,31
331,Fox,Thu Nov 02 05:28:48 +0000 2017,@grottlechong no,-0.296,0.0,0.312,0.688,32
332,Fox,Thu Nov 02 05:13:31 +0000 2017,RT @robynkanner: If you were wondering how much I was paid or even publicly acknowledged for pushing this rebrand it was $0 and none. https…,0.0,0.0,1.0,0.0,33
333,Fox,Thu Nov 02 04:56:01 +0000 2017,I need this game in my life ASAP. https://t.co/CJOhv2Mol3,0.0,0.0,1.0,0.0,34
334,Fox,Thu Nov 02 04:02:23 +0000 2017,"“In my communities ‘you guys’ is a non-gendered term.”

You mean all male communities? This gift just keeps on giving ?",0.6486,0.238,0.762,0.0,35
335,Fox,Thu Nov 02 03:41:27 +0000 2017,@glenmaddern Think how crap emoji will look on Android and that should get you sorted,-0.3818,0.0,0.843,0.157,36
336,Fox,Thu Nov 02 03:40:22 +0000 2017,@glenmaddern Oh no are you going to be a green bubble friend,0.25,0.222,0.625,0.153,37
337,Fox,Thu Nov 02 03:26:42 +0000 2017,"@mwichary Sexist apologetics, probably",0.0,0.0,1.0,0.0,38
338,Fox,Thu Nov 02 03:21:09 +0000 2017,"I’m going to start auto-deleting all emails including “guys”. Sorry not sorry, guys.",-0.0201,0.09,0.813,0.096,39
339,Fox,Thu Nov 02 02:47:49 +0000 2017,@notwaldorf a friendly reminder about our Call for Speakers… ?? https://t.co/6XXZPqUZql,0.4939,0.262,0.738,0.0,40
340,Fox,Thu Nov 02 02:42:19 +0000 2017,"What are some amazing CSS, JavaScript, tech culture, open source talks you’ve seen within last year?",0.5859,0.202,0.798,0.0,41
341,Fox,Thu Nov 02 02:36:37 +0000 2017,"Can’t make this up.

Me corrects using guys towards mixed gender group
Man: “I call everyone guys but a lot of people don't so I understand”",0.0,0.0,1.0,0.0,42
342,Fox,Thu Nov 02 02:29:18 +0000 2017,@figmadesign any plans for HSLa support in the colour picker?,0.4019,0.231,0.769,0.0,43
343,Fox,Thu Nov 02 01:59:58 +0000 2017,?? https://t.co/VmrxtqT1oY,0.0,0.0,1.0,0.0,44
344,Fox,Thu Nov 02 01:57:43 +0000 2017,"I’m loving how empowering @patreon is. If you’re an activist or want to fund efforts in any other field, try it! 

https://t.co/owmqqVPBE1",0.6696,0.215,0.785,0.0,45
345,Fox,Thu Nov 02 01:42:54 +0000 2017,Lovely visual guide to email design by folks at @mailchimp! https://t.co/dTP2VWjAv8,0.6239,0.29,0.71,0.0,46
346,Fox,Wed Nov 01 23:46:43 +0000 2017,"@Mandy_Kerr Hopefully, we will meet the goal ? Next step would be to have travel stipends, but that’s out of the question for now.",0.2144,0.078,0.922,0.0,47
347,Fox,Wed Nov 01 23:02:37 +0000 2017,In order to change the culture in the industry we have to call these things out. It’s our responsibility to refuse to speak at such events.,-0.296,0.0,0.919,0.081,48
348,Fox,Wed Nov 01 23:00:47 +0000 2017,I’m yet to see a conference in Poland living up to any standards of safety and non-100%-male-lineup. The only exception is @fronttrends.,0.4215,0.123,0.877,0.0,49
349,Fox,Wed Nov 01 23:00:08 +0000 2017,"Code of Conducts done wrong: no reporting info, no guidelines on what behaviour is prohibited. This is harmful,… https://t.co/IEgevkxPes",-0.7579,0.0,0.681,0.319,50
350,Fox,Wed Nov 01 21:59:48 +0000 2017,"@mikeal Where’s the open web, I don’t even know. Some do better than others, but in general it’s pretty messed up.",0.4854,0.237,0.645,0.118,51
351,Fox,Wed Nov 01 21:59:22 +0000 2017,"@mikeal Haha, I’m practicing my “polite rant” approach. But I was pretty pissed off writing it. The experience was… https://t.co/zIcwXmpuZm",0.25,0.235,0.606,0.159,52
352,Fox,Wed Nov 01 21:17:51 +0000 2017,"@MilieuGrotesque — hey, your trial font files are broken for Maison Neue. Seems like an entirely different typeface altogether.",-0.1531,0.116,0.741,0.144,53
353,Fox,Wed Nov 01 21:14:44 +0000 2017,"Not mentioning the usability or speed of type foundry websites. Trying to be artistic so hard, sacrificing the user experience.",-0.2183,0.0,0.911,0.089,54
354,Fox,Wed Nov 01 21:12:43 +0000 2017,"Most foundries don’t offer not-for-profit discounts and force to pay for minimum 500,000 views/month. What about small projects?!",-0.1759,0.0,0.909,0.091,55
355,Fox,Wed Nov 01 21:12:02 +0000 2017,"But when a foundry is providing broken test font files, charging €150 per font variant (!) it’s getting a little bit obscene.",-0.7854,0.0,0.722,0.278,56
356,Fox,Wed Nov 01 21:11:21 +0000 2017,I’m fine paying for good fonts. I’ve spent quite a bit in the past on typefaces I really loved.,0.8357,0.388,0.612,0.0,57
357,Fox,Wed Nov 01 21:11:04 +0000 2017,"I understand the outrage about web font piracy and how many files are hosted on Github, free to access by virtually anyone.",0.0,0.129,0.742,0.129,58
358,Fox,Wed Nov 01 21:10:41 +0000 2017,I have a few thoughts about type foundries and selling web fonts.,0.0,0.0,1.0,0.0,59
359,Fox,Wed Nov 01 20:43:17 +0000 2017,@waferbaby only seen one episode so far. Was too jet lagged ?,-0.296,0.0,0.82,0.18,60
360,Fox,Wed Nov 01 20:37:27 +0000 2017,@waferbaby No spoilers Dan,-0.296,0.0,0.577,0.423,61
361,Fox,Wed Nov 01 20:27:00 +0000 2017,"RT @sarahmei: Hello white male successful people! When someone asks you how to get ahead, please NEVER say ""just do good work &amp; you'll be t…",0.8516,0.288,0.712,0.0,62
362,Fox,Wed Nov 01 19:01:11 +0000 2017,"@g33konaut ? thank you, Martin!!",0.4738,0.507,0.493,0.0,63
363,Fox,Wed Nov 01 19:00:48 +0000 2017,"@LewisCowper Thank you, Lewis ?",0.3612,0.455,0.545,0.0,64
364,Fox,Wed Nov 01 18:56:28 +0000 2017,"@szynszyliszys Nah, it’s not on the CFP page, will add it :)",0.3818,0.208,0.694,0.097,65
365,Fox,Wed Nov 01 18:36:38 +0000 2017,"@szynszyliszys March 20-23, 2018. It’s on the landing page.",0.0,0.0,1.0,0.0,66
366,Fox,Wed Nov 01 09:43:11 +0000 2017,"We especially welcome members of underrepresented groups: women, people of colour, LGBTQI+ community and more. We’re here to empower you.",0.5095,0.148,0.852,0.0,67
367,Fox,Wed Nov 01 09:42:10 +0000 2017,"All of the requirements, advice, pointers and speaker perks can be found on the websites. Pro tip: don’t wait till the last minute to apply.",0.0,0.0,1.0,0.0,68
368,Fox,Wed Nov 01 09:40:12 +0000 2017,"Call for Speakers for @jsconfau+@cssconfau is up. Apply before Dec 1. Everyone’s welcome ??

https://t.co/6XXZPqUZql
https://t.co/82TqrRw4oC",0.4588,0.167,0.833,0.0,69
369,Fox,Wed Nov 01 04:52:50 +0000 2017,"A fascinating slide deck on why women don’t advance to leadership and senior roles. Kudos, @clevergirl! https://t.co/nCHy9guwBF",0.7959,0.336,0.664,0.0,70
370,Fox,Wed Nov 01 00:53:09 +0000 2017,@superhighfives @glenmaddern is it landing at MOMA soon or what,0.0,0.0,1.0,0.0,71
371,Fox,Wed Nov 01 00:14:09 +0000 2017,"@ctrlaltjustine Yes, also what is wrong with being snuggled by your activewear?? What are you saying?!!!",-0.4245,0.127,0.66,0.213,72
372,Fox,Wed Nov 01 00:05:56 +0000 2017,All I want is @OutdoorVoices international shipping so I can wear activewear forever.,0.0772,0.115,0.885,0.0,73
373,Fox,Tue Oct 31 23:55:55 +0000 2017,@ctrlaltjustine @amelielamont Uhhhh now I want tart,0.0772,0.206,0.794,0.0,74
374,Fox,Tue Oct 31 23:33:05 +0000 2017,@odajay We haven’t launched the Opportunity Program yet. But if you follow the conference accounts you’ll definitely know when to apply :),0.8402,0.357,0.643,0.0,75
375,Fox,Tue Oct 31 22:46:59 +0000 2017,"@thebogandev Yep, have that one already :) wrote about it in one of my talks. It’s great!",0.8622,0.407,0.593,0.0,76
376,Fox,Tue Oct 31 22:46:18 +0000 2017,If your organisation can help us offer free tickets for underrepresented groups ? sponsors [at] https://t.co/lQJgwsGA9D.,0.7184,0.316,0.684,0.0,77
377,Fox,Tue Oct 31 22:43:26 +0000 2017,"We’re intending to send 50 people for free to @cssconfau and @jsconfau 2018 as a part of our Opportunity Program. 

?",0.7269,0.264,0.736,0.0,78
378,Fox,Tue Oct 31 22:42:10 +0000 2017,"@mknepprath Yay, awesome! ??",0.8313,0.796,0.204,0.0,79
379,Fox,Tue Oct 31 22:39:54 +0000 2017,What are your favourite Visual Studio Code components and tips? I’m switching from Atom ?,0.0,0.0,1.0,0.0,80
380,Fox,Tue Oct 31 22:23:44 +0000 2017,A great repository with diversity and inclusion resources. https://t.co/rDsWSr82Vx,0.6249,0.369,0.631,0.0,81
381,Fox,Tue Oct 31 19:43:12 +0000 2017,@sharkie555 there is no language in which guys is gender neutral,-0.296,0.0,0.82,0.18,82
382,Fox,Tue Oct 31 19:35:21 +0000 2017,@dantoml YES,0.5319,0.774,0.226,0.0,83
383,Fox,Tue Oct 31 19:34:04 +0000 2017,One of my winning moments as a conference organiser is correcting all the men emailing us with “Hey guys”.,0.5267,0.167,0.833,0.0,84
384,Fox,Tue Oct 31 05:12:30 +0000 2017,@waferbaby what is life Dan,0.0,0.0,1.0,0.0,85
385,Fox,Tue Oct 31 05:10:02 +0000 2017,"When you just flew in back home and are having conversations across three timezones: 

?????",0.0,0.0,1.0,0.0,86
386,Fox,Mon Oct 30 03:54:16 +0000 2017,@yassmin_a Lie-fi is the worst type of connectivity ever invented. That’s why it’s important to make the Web fast and work offline ? ??,-0.5859,0.066,0.73,0.204,87
387,Fox,Mon Oct 30 02:06:39 +0000 2017,@patrickhamann nice seeing you! safe travels!,0.7418,0.611,0.389,0.0,88
388,Fox,Mon Oct 30 02:00:40 +0000 2017,Thanks to everyone who spent time with us in San Francisco! We had a great (and busy) trip. Time to head back down under and rest ?,0.807,0.241,0.759,0.0,89
389,Fox,Sun Oct 29 23:57:04 +0000 2017,This is the best photo I’ve ever taken. https://t.co/PCpiY1zWAL,0.6369,0.344,0.656,0.0,90
390,Fox,Sat Oct 28 17:26:49 +0000 2017,"@andreasdotorg it was pretty chill, actually",0.4939,0.39,0.61,0.0,91
391,Fox,Sat Oct 28 17:22:54 +0000 2017,Once I’ve succeeded at getting remote work from US startups thought Polish people were cheap labour and paid me less than others.,0.4215,0.118,0.882,0.0,92
392,Fox,Sat Oct 28 17:21:47 +0000 2017,Wages in Eastern Europe were hilariously low even for tech for a long time. It was really hard to break through outside of the country.,-0.4201,0.0,0.853,0.147,93
393,Fox,Sat Oct 28 17:20:01 +0000 2017,"First non-freelance work
2010
Kraków, Poland
Front-end Dev intern
$800/month

https://t.co/gyyK1UIndi",0.0,0.0,1.0,0.0,94
394,Fox,Sat Oct 28 16:52:02 +0000 2017,RT @gillianbwhite: I’m working on a story about sexual harassment on Wall St and in big law. If you’d like to talk: gillian@theatlantic.com…,-0.25,0.096,0.769,0.135,95
395,Fox,Sat Oct 28 16:14:43 +0000 2017,@yassmin_a really need that drop mic emoji https://t.co/7lQrUu0BAH,-0.3321,0.0,0.748,0.252,96
396,Fox,Sat Oct 28 16:10:52 +0000 2017,"RT @maybekatz: A thought for y'all white and nbpoc:

How about instead of saying you're ""woke""

you say ""I grew the fuck up""

?

thx",-0.25,0.093,0.778,0.13,97
397,Fox,Sat Oct 28 15:56:44 +0000 2017,"@paddycarver thank you for your kind words, Paddy! ?",0.7345,0.508,0.492,0.0,98
398,Fox,Sat Oct 28 03:29:06 +0000 2017,@joaolucasluc I’ll be publishing an organizer-oriented checklist for diversity &amp; inclusion. Otherwise look at other… https://t.co/U2uT8fPfyE,0.0,0.0,1.0,0.0,99
399,Fox,Sat Oct 28 03:28:10 +0000 2017,@joaolucasluc It’d take hours to explain how we run it and what we do. We’ve written a bunch about it in the past (… https://t.co/8CRmXWAXWo,0.0,0.0,1.0,0.0,100
400,nytimes,Sun Nov 05 20:52:03 +0000 2017,Conan O’Brien may be taking more artistic risks than any other late-night host https://t.co/4shU1bgOCo,-0.3353,0.0,0.845,0.155,1
401,nytimes,Sun Nov 05 20:49:18 +0000 2017,"RT @arappeport: I.R.S. commissioner, demonized by conservatives, leaves on his terms w/ no apologies. “Survival is its own reward.” https:/…",-0.296,0.0,0.896,0.104,2
402,nytimes,Sun Nov 05 20:45:05 +0000 2017,Democrats argue that the wave of retirements will help them retake the House https://t.co/IzVkertrVt,0.0772,0.158,0.702,0.14,3
403,nytimes,Sun Nov 05 20:37:08 +0000 2017,"He kept crime rates low in his first term. Now, Mayor de Blasio has a plan to make police officers nicer. https://t.co/9W1fI7EGcw",-0.4019,0.109,0.679,0.211,4
404,nytimes,Sun Nov 05 20:30:06 +0000 2017,We used VR to explore what music feels like to a deaf person https://t.co/ApNIF1loo1,0.3612,0.172,0.828,0.0,5
405,nytimes,Sun Nov 05 20:22:32 +0000 2017,More than 20 people were killed after a gunman walked into a church in a rural town 30 miles east of San Antonio https://t.co/eL5QUzCWv6,-0.6705,0.0,0.816,0.184,6
406,nytimes,Sun Nov 05 20:15:03 +0000 2017,"When behavior goes unseen or ignored by employers, “whisper networks” can provide women with vital support systems https://t.co/4V2qikUqdq",0.3818,0.221,0.676,0.104,7
407,nytimes,Sun Nov 05 20:00:13 +0000 2017,"“There’s a public perception... that Canada is a steward of the environment, but in fact the opposite is true” https://t.co/DGu2q2v0uc",0.0,0.0,1.0,0.0,8
408,nytimes,Sun Nov 05 19:56:59 +0000 2017,"Breaking News: Several people were killed, including the gunman, in a shooting at a church near San Antonio https://t.co/FXvUKLFCZh",-0.6705,0.0,0.78,0.22,9
409,nytimes,Sun Nov 05 19:45:05 +0000 2017,"In books like “My Secret Garden: Women’s Sexual Fantasies,” Nancy Friday helped establish “a confessional feminism” https://t.co/0Jo4hBnt22",0.3612,0.135,0.865,0.0,10
410,nytimes,Sun Nov 05 19:30:04 +0000 2017,"Opinion: By fretting about food, we turn occasions for comfort and joy into sources of fear and anxiety https://t.co/E1xfBbPsoz",0.34,0.24,0.573,0.187,11
411,nytimes,Sun Nov 05 19:15:06 +0000 2017,Many parennials give their children YouTube channels from the first sonogram and hashtags when they’re born https://t.co/SfIeFdaJkI,0.0,0.0,1.0,0.0,12
412,nytimes,Sun Nov 05 19:00:11 +0000 2017,"Michael Urie's first reaction to taking over Harvey Fierstein's part in ""Torch Song""? ""It was way too scary."" https://t.co/5iEkuJIL3b",0.0,0.0,1.0,0.0,13
413,nytimes,Sun Nov 05 18:45:07 +0000 2017,Behind Yuri Milner's investments in Facebook and Twitter were hundreds of millions of dollars from the Kremlin https://t.co/1nVIa0y2zf,0.0,0.0,1.0,0.0,14
414,nytimes,Sun Nov 05 18:44:32 +0000 2017,@jeffbercovici We sent a sports alert for Shalane Flanagan's victory: https://t.co/zae1UjlCfH. Kamworor's win also received a sports alert.,0.802,0.387,0.613,0.0,15
415,nytimes,Sun Nov 05 18:30:03 +0000 2017,Even the columnist’s daughter criticized his description of the press secretary as a “slightly chunky soccer mom” https://t.co/IDmfVEC1tJ,-0.3612,0.0,0.865,0.135,16
416,nytimes,Sun Nov 05 18:15:07 +0000 2017,Commerce Secretary Wilbur Ross has profited handsomely from a shipping company with business ties to Putin’s family https://t.co/DkZO3TdANj,0.6369,0.257,0.743,0.0,17
417,nytimes,Sun Nov 05 18:00:16 +0000 2017,"With tears and maybe a few colorful words, Flanagan won the race with a time of 2 hours 26 minutes 53 seconds… https://t.co/0LhSE1xlcO",0.4215,0.157,0.763,0.081,18
418,nytimes,Sun Nov 05 17:45:12 +0000 2017,"“No one — no dictator, no regime and no nation — should underestimate, ever, American resolve,” Trump said https://t.co/NwU7mi9SWb",-0.7783,0.0,0.596,0.404,19
419,nytimes,Sun Nov 05 17:30:08 +0000 2017,Spanish authorities are seeking to prosecute 20 politicians on rebellion for declaring Catalonia’s independence https://t.co/ynd3olMZZc,-0.4939,0.0,0.756,0.244,20
420,nytimes,Sun Nov 05 17:15:12 +0000 2017,Here are the top story lines for NFL Week 9 https://t.co/IjblFapJPY,0.2023,0.167,0.833,0.0,21
421,nytimes,Sun Nov 05 17:05:26 +0000 2017,"Geoffrey Kamworor of Kenya, a two-time world champion in the half-marathon, won the men’s race https://t.co/25dHU1O74x",0.8225,0.369,0.631,0.0,22
422,nytimes,Sun Nov 05 17:00:16 +0000 2017,Why was Larry David making jokes about trying to pick up women at a concentration camp? https://t.co/9hp5blyqf2,0.25,0.118,0.882,0.0,23
423,nytimes,Sun Nov 05 16:51:12 +0000 2017,"Shalane Flanagan won the New York City Marathon, the first American woman to finish first since 1977 https://t.co/Ge88TTiRRh",0.5719,0.179,0.821,0.0,24
424,nytimes,Sun Nov 05 16:45:04 +0000 2017,The 6 crew members living in isolation for a NASA-funded study exit their habitat in Hawaii after 8 months… https://t.co/SZ5TUVfAKE,-0.4019,0.0,0.856,0.144,25
